"","country","games","iso_a3","population","medal_type","medal_winner","medal_total","medals_1","medals_2","medals_3","medals_4","medals_5","medals_1.team","rank_total","p_mean","p_median","p_credlow","p_credhigh","rank_mean","rank_median","rank_credlow","rank_credhigh","rank_mean_beta","rank_median_beta","observed_mpm","estimate_mpm","estimate_mpm_credlow","estimate_mpm_credhigh","rank_pc"
"28","Cook Islands","paris-2024","COK",14000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,28,3.16071996359985e-07,6.36809577259412e-08,1.28604606789416e-09,2.27124702529142e-06,NA,NA,NA,NA,NA,NA,0,0.0636809577259412,0.00128604606789416,2.27124702529142,118
"29","Costa Rica","paris-2024","CRI",5130000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,29,5.19700980410499e-08,1.7044914360011e-08,1.18261500127774e-09,3.04240993936522e-07,NA,NA,NA,NA,NA,NA,0,0.017044914360011,0.00118261500127774,0.304240993936522,119
"30","Djibouti","paris-2024","DJI",1169000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,30,1.38488403756035e-07,3.59354344723148e-08,1.26497066593252e-09,8.91345160198217e-07,NA,NA,NA,NA,NA,NA,0,0.0359354344723148,0.00126497066593252,0.891345160198217,120
"31","El Salvador","paris-2024","SLV",6338000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,31,4.31731737041993e-08,1.50014087185242e-08,1.16523586073756e-09,2.60268149241821e-07,NA,NA,NA,NA,NA,NA,0,0.0150014087185242,0.00116523586073756,0.260268149241821,121
"32","Equatorial Guinea","paris-2024","GNQ",1893000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,32,1.03184601341423e-07,2.96980497304478e-08,1.22121414730343e-09,6.49388168688542e-07,NA,NA,NA,NA,NA,NA,0,0.0296980497304478,0.00122121414730343,0.649388168688542,122
"33","Eritrea","paris-2024","ERI",3536000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,33,6.45607375039872e-08,2.09194749756303e-08,1.21612195883231e-09,3.87983114291519e-07,NA,NA,NA,NA,NA,NA,0,0.0209194749756303,0.00121612195883231,0.387983114291519,123
"34","Estonia","paris-2024","EST",1361000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,34,1.20810580825574e-07,3.2059349711582e-08,1.24322073962167e-09,7.65260855073993e-07,NA,NA,NA,NA,NA,NA,0,0.032059349711582,0.00124322073962167,0.765260855073993,124
"35","Eswatini","paris-2024","SWZ",1243000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,35,1.32940271498895e-07,3.56606664896831e-08,1.2710633925383e-09,8.50172221109468e-07,NA,NA,NA,NA,NA,NA,0,0.0356606664896831,0.0012710633925383,0.850172221109468,125
"36","Finland","paris-2024","FIN",5617000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,36,4.82504538879044e-08,1.61161258810403e-08,1.18156660777525e-09,2.84090974159507e-07,NA,NA,NA,NA,NA,NA,0,0.0161161258810403,0.00118156660777525,0.284090974159507,126
"37","Gabon","paris-2024","GAB",2539000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,37,8.41568386452243e-08,2.47052224952202e-08,1.19755858851233e-09,5.24924321348754e-07,NA,NA,NA,NA,NA,NA,0,0.0247052224952202,0.00119755858851233,0.524924321348754,127
"38","The Gambia","paris-2024","GMB",2760000,"Non-medalist","non_medal_winner",0,0,0,0,0,0,0,38,7.74184726429684e-08,2.29379924300053e-08,1.21878894499945e-09,4.78446666349082e-07,NA,NA,NA,NA,NA,NA,0,0.0229379924300053,0.00121878894499945,0.478446666349082,128
